Date,AAPL,IBM,MSFT,ORCL,SAP,TSLA
2017-09-19,39.682498931884766,138.04014587402344,75.44000244140625,48.040000915527344,110.33000183105469,25.00666618347168
2017-09-20,39.01750183105469,139.46463012695312,74.94000244140625,47.970001220703125,109.9000015258789,24.92733383178711
2017-09-21,38.34749984741211,138.87188720703125,74.20999908447266,47.970001220703125,109.62999725341797,24.43199920654297
2017-09-22,37.97249984741211,138.7476043701172,74.41000366210938,48.15999984741211,110.2699966430664,23.4060001373291
2017-09-25,37.63750076293945,139.45506286621094,73.26000213623047,47.970001220703125,108.94999694824219,22.999332427978516
2017-09-26,38.28499984741211,140.11471557617188,73.26000213623047,47.91999816894531,107.91999816894531,23.016666412353516
2017-09-27,38.557498931884766,139.25430297851562,73.8499984741211,48.15999984741211,107.9800033569336,22.731332778930664
2017-09-28,38.31999969482422,139.25430297851562,73.87000274658203,48.08000183105469,108.80000305175781,22.639999389648438
2017-09-29,38.529998779296875,138.69981384277344,74.48999786376953,48.349998474121094,109.6500015258789,22.739999771118164
2017-10-02,38.45249938964844,140.2103271484375,74.61000061035156,48.79999923706055,110.55999755859375,22.768667221069336
2017-10-03,38.619998931884766,140.32504272460938,74.26000213623047,48.689998626708984,110.94000244140625,23.209333419799805
2017-10-04,38.369998931884766,140.03823852539062,74.69000244140625,48.900001525878906,110.12000274658203,23.667333602905273
2017-10-05,38.84749984741211,140.26768493652344,75.97000122070312,48.90999984741211,110.91999816894531,23.68866729736328
2017-10-06,38.82500076293945,140.03823852539062,76.0,48.400001525878906,110.97000122070312,23.79199981689453
2017-10-09,38.959999084472656,140.90821838378906,76.29000091552734,48.36000061035156,112.30999755859375,22.862667083740234
2017-10-10,38.974998474121094,141.9694061279297,76.29000091552734,48.209999084472656,112.3499984741211,23.70599937438965
2017-10-11,39.13750076293945,141.12811279296875,76.41999816894531,48.279998779296875,112.66000366210938,23.639999389648438
2017-10-12,39.0,140.56405639648438,77.12000274658203,48.22999954223633,112.6500015258789,23.711999893188477
2017-10-13,39.247501373291016,140.6309814453125,77.48999786376953,48.61000061035156,112.72000122070312,23.704666137695312
2017-10-16,39.970001220703125,140.3728485107422,77.6500015258789,48.86000061035156,111.83999633789062,23.373332977294922
2017-10-17,40.11750030517578,140.09559631347656,77.58999633789062,49.189998626708984,111.33999633789062,23.71666717529297
2017-10-18,39.939998626708984,152.51434326171875,77.61000061035156,49.58000183105469,111.7699966430664,23.976667404174805
2017-10-19,38.994998931884766,153.8240966796875,77.91000366210938,49.349998474121094,113.4000015258789,23.45400047302246
2017-10-20,39.0625,154.94264221191406,78.80999755859375,49.25,112.02999877929688,23.00666618347168
2017-10-23,39.04249954223633,152.53346252441406,78.83000183105469,49.310001373291016,112.31999969482422,22.468000411987305
2017-10-24,39.275001525878906,149.0248565673828,78.86000061035156,49.97999954223633,112.30000305175781,22.48933219909668
2017-10-25,39.102500915527344,146.74952697753906,78.62999725341797,49.70000076293945,112.76000213623047,21.722667694091797
2017-10-26,39.352500915527344,146.84512329101562,78.76000213623047,50.150001525878906,113.4000015258789,21.744667053222656
2017-10-27,40.76250076293945,146.92160034179688,83.80999755859375,50.880001068115234,114.1500015258789,21.391332626342773
2017-10-30,41.68000030517578,147.5717010498047,83.88999938964844,50.68000030517578,113.80000305175781,21.338666915893555
2017-10-31,42.2599983215332,147.28489685058594,83.18000030517578,50.900001525878906,114.19999694824219,22.101999282836914
2017-11-01,41.72249984741211,147.25621032714844,83.18000030517578,50.63999938964844,116.2699966430664,21.405332565307617
2017-11-02,42.02750015258789,146.6061248779297,84.05000305175781,50.279998779296875,115.5199966430664,19.950666427612305
2017-11-03,43.125,144.91395568847656,84.13999938964844,50.18000030517578,114.91000366210938,20.4060001373291
2017-11-06,43.5625,144.2064971923828,84.47000122070312,50.400001525878906,114.98999786376953,20.185333251953125
2017-11-07,43.70249938964844,144.69407653808594,84.2699966430664,50.4900016784668,114.22000122070312,20.40333366394043
2017-11-08,44.060001373291016,144.90440368652344,84.55999755859375,50.540000915527344,114.5999984741211,20.292667388916016
2017-11-09,43.970001220703125,143.69024658203125,84.08999633789062,49.2400016784668,112.63999938964844,20.19933319091797
2017-11-10,43.66749954223633,142.6003875732422,83.87000274658203,49.31999969482422,112.58999633789062,20.19933319091797
2017-11-13,43.49250030517578,141.87380981445312,83.93000030517578,49.400001525878906,112.37000274658203,21.02666664123535
2017-11-14,42.834999084472656,142.34225463867188,84.05000305175781,49.20000076293945,113.08000183105469,20.579999923706055
2017-11-15,42.27000045776367,140.6309814453125,82.9800033569336,48.81999969482422,112.87999725341797,20.753332138061523
2017-11-16,42.775001525878906,142.5621337890625,83.19999694824219,49.20000076293945,113.94000244140625,20.833332061767578
2017-11-17,42.537498474121094,142.41873168945312,82.4000015258789,48.939998626708984,113.75,21.003332138061523
2017-11-20,42.494998931884766,143.89100646972656,82.52999877929688,49.02000045776367,114.02999877929688,20.582666397094727
2017-11-21,43.28499984741211,145.26768493652344,83.72000122070312,48.630001068115234,115.29000091552734,21.187332153320312
2017-11-22,43.7400016784668,145.09559631347656,83.11000061035156,48.58000183105469,113.8499984741211,20.84000015258789
2017-11-24,43.74250030517578,145.1625213623047,83.26000213623047,49.0099983215332,116.41000366210938,21.036666870117188
2017-11-27,43.522499084472656,145.29637145996094,83.87000274658203,48.880001068115234,115.73999786376953,21.12066650390625
2017-11-28,43.26750183105469,145.7648162841797,84.87999725341797,49.0099983215332,115.5199966430664,21.170000076293945
